Fig 1A,Vole ID,Partner vehicle,Partner D1 Antagonist,Novel vehicle,Novel D1 Antagonist,,Fig 1B,Vole ID,Vehicle % Partner Preference,D1 Antagonist % Partner Preference,,Fig 1C - Velocity,Vole ID,Vehicle,D1 Antagonist,,Fig 1D - Distance,Vole ID,Vehicle,D1 Antagonist
,5333,10.2803333,0.75683333,1.30133333,0.38816667,,,5333,88.76385,66.09898,,,5333,29.545,68.73,,,5333,49.04632,191.71492
,5336,2.2005,1.69833333,10.6401667,1.61666667,,,5336,17.13696,51.23177,,,5336,93.235,123.88,,,5336,80.85491,95.07072
,5338,30.0345,14.6173333,0,0,,,5338,100,100,,,5338,45.265,117.605,,,5338,127.87781,370.2263
,5340,14.2303333,2.67716667,0.5945,0,,,5340,95.98984,100,,,5340,16.07,64.745,,,5340,35.86889,73.15092
,5341,23.266,47.7393333,1.3075,0,,,5341,94.67923,100,,,5341,20.385,53.605,,,5341,103.69072,236.59227
,5344,42.9863333,55.2301667,0,0,,,5344,100,100,,,5344,87.375,73.365,,,5344,141.16604,66.4935
,5346,1.175,2.51033333,1.15566667,0.46433333,,,5346,50.41476,84.39041,,,5346,35.91,19.625,,,5346,151.55448,63.59945
,5348,3.9,38.2793333,0.48333333,0.01666667,,,5348,88.97338,99.95648,,,5348,49.33,47.8,,,5348,39.71755,76.00616
,5351,10.3003333,34.4695,0,0,,,5351,100,100,,,5351,150.62,118.585,,,5351,139.77585,283.6458
,5357,0.84633333,6.69283333,1.62666667,0.29033333,,,5357,34.22294,95.84238,,,5357,53.72,69.9,,,5357,48.71869,225.63959
,5361,2.39233333,0.22516667,0.0695,10.3776667,,,5361,97.1769,2.123646,,,5361,98.15,49.955,,,5361,120.94296,107.88047
,5364,21.4113333,40.183,0.3615,0,,,5364,98.33967,100,,,5364,87.18,80.43,,,5364,101.43893,302.98889
,5365,7.6765,12.2511667,0.01333333,0,,,5365,99.82661,100,,,5365,73.725,72.51,,,5365,34.41031,132.846
,5375,23.5085,46.4281667,0.0105,0.01216667,,,5375,99.95536,99.9738,,,5375,30.76,69.87,,,5375,143.47133,159.68501
,5376,15.8586667,0.55833333,0,0.49216667,,,5376,100,53.14929,,,5376,66.71,137.025,,,5376,112.33962,104.65237
,5379,17.7438333,39.584,0,0.42216667,,,5379,100,98.94475,,,5379,31.325,58.33,,,5379,30.60872,83.05786
,,,,,,,,,,,,,,,,,,,,
Fig 1E,Vole ID,Partner vehicle,Partner D2 Antagonist,Novel vehicle,Novel D2 Antagonist,,Fig 1F,Vole ID,Vehicle % Partner Preference,D2 Antagonist % Partner Preference,,Fig 1G - Velocity,Vole ID,Vehicle,D2 Antagonist,,Fig 1H - Distance,Vole ID,Vehicle,D2 Antagonist
,5333,0,0,0.02116667,0.2325,,,5333,0,0,,,5333,175.45,15.04666667,,,5333,82.61679,8.54145
,5336,1.8535,11.9408333,5.23633333,1.07433333,,,5336,26.14307,91.74553,,,5336,150.1766667,55.48333333,,,5336,539.11751,150.5236
,5338,40.8436667,31.3596667,0.37483333,0.08516667,,,5338,99.09062,99.72916,,,5338,20.29,24.16333333,,,5338,35.87726,57.23009
,5340,4.58466667,35.8865,10.07,1.46866667,,,5340,31.28469,96.06837,,,5340,23.48666667,12.30666667,,,5340,63.10752,30.16606
,5341,46.4125,25.6928333,0.27083333,0.16683333,,,5341,99.41985,99.35485,,,5341,28.66,37.43666667,,,5341,34.35879,92.77386
,5344,31.6021667,36.234,0.13183333,0.015,,,5344,99.58457,99.95862,,,5344,30.23666667,10.07,,,5344,65.6208,29.98208
,5346,11.511,28.7688333,1.01316667,1.13333333,,,5346,91.91031,96.20986,,,5346,135.86,107.9833333,,,5346,419.76752,240.50198
,5348,11.7623333,9.525,0.59233333,0.06733333,,,5348,95.20559,99.29805,,,5348,82.81666667,87.14666667,,,5348,279.50476,267.00905
,5351,4.44833333,38.7053333,0.82583333,0.40983333,,,5351,84.34192,98.95224,,,5351,48.68333333,23.80333333,,,5351,106.32822,43.1306
,5357,8.78316667,22.9863333,6.78516667,0,,,5357,56.41687,100,,,5357,48.39,22.83666667,,,5357,127.95738,51.85965
,5361,12.7205,7.4375,9.31216667,0.06116667,,,5361,57.73473,99.1843,,,5361,45.48333333,14.26666667,,,5361,142.03407,9.08824
,5364,38.0286667,11.2568333,0,0.0345,,,5364,100,99.69446,,,5364,27.20333333,48.68666667,,,5364,72.85804,174.31818
,5365,18.2966667,5.98216667,0,0,,,5365,100,100,,,5365,17.25,5.693333333,,,5365,43.89481,18.4433
,5375,26.299,46.4986667,0.05833333,0.08116667,,,5375,99.77868,99.82575,,,5375,23.14,8.886666667,,,5375,44.66015,21.13644
,5376,23.5696667,0.15016667,2.4675,0,,,5376,90.52316,100,,,5376,57.12333333,30.78,,,5376,123.41675,21.98657
,5379,26.3035,30.589,1.3085,0.262,,,5379,95.26112,99.15076,,,5379,46.12666667,14.43666667,,,5379,96.20739,36.5505
