,,Training day,Training day,Training day,Training day,Training day,Training day,,,,Training day,Training day,Training day,Training day,Training day,Training day,,,,Training day,Training day,Training day,Training day,Training day,Training day
Fig 3G - # presses,Vole ID,1,2,3,4,5,6,,Fig 3H - latency to press,Vole ID,1,2,3,4,5,6,,Fig 3I - latency to enter,Vole ID,1,2,3,4,5,6
,4275,9,17,18,20,20,20,,,4275,66.73568262,21.40920246,15.05395056,6.09160064,12.6694662,8.7443744,,,4275,7.8019296,4.79675859,4.15044836,6.90147301,9.24505344,8.08032202
,4277,5,20,13,14,16,14,,,4277,71.60585344,25.30163645,25.7321616,27.7943031,12.8503512,23.51515612,,,4277,5.82116864,3.719728,7.17538156,2.69190217,3.080988,4.30596267
,4236,1,13,11,18,18,20,,,4236,30.0504192,49.13519949,37.43285375,35.49572625,15.89320603,14.5753139,,,4236,14.7586048,6.51130027,6.89859271,7.18748871,7.27907911,5.92151424
,4291,1,15,10,19,19,15,,,4291,29.0182016,25.22592938,17.72065259,20.91102788,23.89484261,22.31827627,,,4291,2.5965312,5.59965269,5.77942187,5.23100231,7.45487225,8.02985326
,4386,4,0,8,9,6,5,,,4386,49.1277203,,52.5044144,48.78565976,36.9112085,47.00519424,,,4386,18.8455744,,7.01915648,4.8756096,8.26542933,4.2429568
,4475,12,7,4,14,10,11,,,4475,41.2395712,63.18456684,84.3782016,56.94211199,57.2302835,24.37261265,,,4475,27.44956288,5.07798126,8.04565411,10.8118764,3.69878471,5.13533867
,4476,9,14,14,20,19,20,,,4476,50.05812478,31.09879221,28.59704147,14.2858765,11.40621945,20.73076691,,,4476,12.25270857,5.473024,4.29742141,5.15137408,4.84962762,6.62054827
,4480,17,12,3,11,11,17,,,4480,10.9017088,19.38367893,40.9792768,57.39224435,42.33758727,20.83342231,,,4480,24.69442176,8.5692416,9.99356587,8.867008,6.72426606,3.77669948
,4531,3,16,11,18,18,18,,,4531,45.4538752,34.83400401,27.72751874,36.60966756,22.5224398,29.78688667,,,4531,14.69064,7.5042664,3.49994089,4.59422578,3.37044329,11.005644
,4532,12,13,10,11,19,17,,,4532,34.7772011,37.93514834,53.9467866,57.1661987,47.97984742,42.10233597,,,4532,16.40064711,6.99333711,8.80597049,19.4221511,11.5440704,7.28260668
,4534,14,12,17,12,13,10,,,4534,30.27313644,49.75405015,41.17290014,46.76894295,48.18932875,32.58660355,,,4534,26.2772608,20.0196659,9.80013327,9.11226987,10.4579612,7.5614464
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Day 1,Day 1,Day 1,Day 1,Day 6,Day 6,Day 6,Day 6,,,,,,,,,,,,,,,,
Fig 3K,Vole ID,Lever Out,Lever Press,Chamber Open,Chamber Entry,Lever Out,Lever Press,Chamber Open,Chamber Entry,,,,,,,,,,,,,,,,
,4275,-0.2441905,-0.1887294,0.21009018,1.08657746,1.01238604,0.91294721,1.64512461,0.53376465,,,,,,,,,,,,,,,,
,4277,-0.7911889,-1.0669952,-0.9864897,1.45214663,-0.31195,1.31724069,1.85281959,2.6294454,,,,,,,,,,,,,,,,
,4236,-0.5010015,-1.3134971,-0.2772966,2.01808662,1.22038197,2.24027718,2.62314444,1.86580857,,,,,,,,,,,,,,,,
,4291,-0.6370979,1.3309252,0.60057121,2.01808662,0.41466022,2.16459087,4.30024702,2.24955248,,,,,,,,,,,,,,,,
,4386,0.08274253,0.57911673,0.42784837,2.86934157,-0.411321,-0.3183813,0.74127228,1.73996291,,,,,,,,,,,,,,,,
,4475,0.20945238,0.9400482,0.93795003,1.33592473,0.67508501,4.28209631,3.89156355,1.86627948,,,,,,,,,,,,,,,,
,4476,-0.3894757,-0.5832015,-0.6559774,2.77926084,2.16246695,3.27800953,3.93747864,3.42497784,,,,,,,,,,,,,,,,
,4480,0.49763007,0.11682968,0.0629221,1.84601034,0.30962804,2.64745057,2.71912131,1.27882399,,,,,,,,,,,,,,,,
,4531,0.83857039,1.57739231,0.28556621,3.55206385,0.72223474,0.18004844,1.11616508,1.1365102,,,,,,,,,,,,,,,,
,4532,-0.1334719,-0.6234801,-0.4605112,1.79835895,0.27729982,0.11503406,0.34856035,0.17710226,,,,,,,,,,,,,,,,
,4534,-0.0061246,-0.66405,-0.5806858,1.26599426,0.91882399,0.37019149,-0.5049209,-0.3114539,,,,,,,,,,,,,,,,
