S1B: D1 Antag Time on Rod,Vole ID,Veh,0.5mg/kg DRD1 antag,1mg/kg DR1 antag,,S1C: D2 Antag Time on Rod,Vole ID,Veh,1.25 mg/kg DRD2 antag,2 mg/kg DRD2 antag,,,,
,4984,23,16,2.333333333,,,4984,23,44.33333333,25.33333333,,,,
,4987,47.33333333,57.66666667,44.33333333,,,4987,47.33333333,25.66666667,53,,,,
,4988,31,21.33333333,9.333333333,,,4988,31,56.33333333,43.33333333,,,,
,4989,60,56,34.66666667,,,4989,60,54.66666667,45.33333333,,,,
,5089,58.66666667,49,19.66666667,,,5089,58.66666667,49,59.33333333,,,,
,5090,47,53.33333333,48,,,5090,47,60,54.66666667,,,,
,4977,46.33333333,60,8.333333333,,,4977,46.33333333,41.33333333,29.66666667,,,,
,4978,60,45.66666667,43,,,4978,60,60,35.33333333,,,,
,4979,54.66666667,56.66666667,33.33333333,,,4979,54.66666667,42.33333333,42.66666667,,,,
,5343,44,52.33333333,26.33333333,,,5343,44,50.33333333,32,,,,
,,,,,,,5172,51.66666667,49.33333333,58.33333333,,,,
,,,,,,,5173,50.33333333,60,54.66666667,,,,
,,,,,,,5221,60,60,60,,,,
,,,,,,,5224,34.4,42.33333333,50,,,,
,,,,,,,,,,,,,,
,,Training day,Training day,Training day,Training day,Training day,,,,Training day,Training day,Training day,Training day,Training day
S1E: # presses,Vole ID,1,2,3,4,5,,S1F: lat to press,Vole ID,1,2,3,4,5
,5336,16,20,20,20,20,,,5336,56.550625,30.125,30.471,18.2735,12.3055
,5338,3,5,2,8,2,,,5338,204.7,98.782,173.84,91.455,148.45
,5340,11,20,20,17,15,,,5340,116.850909,59.7495,55.564,63.7923529,71.086
,5341,9,17,20,19,20,,,5341,94.5288889,74.0488235,22.188,12.1321053,45.0615
,5344,9,4,16,13,19,,,5344,161.514444,142.945,138.791875,117.566923,116.044211
,5346,18,20,19,19,18,,,5346,46.7538889,13.8005,26.97526332,14.8878947,46.8222222
,5348,5,5,15,20,20,,,5348,132.25,63.764,70.9273333,49.8765,22.6775
,5351,16,15,16,17,19,,,5351,81.330625,93.848,70.539375,54.3688235,40.7268421
,5357,20,16,19,19,19,,,5357,56.9545,72.846875,63.5352632,43.6157895,47.1157895
,5361,2,6,12,19,16,,,5361,196.095,89.385,60.8116667,103.379474,72.87125
,5333,12,20,20,20,20,,,5333,81.9025,15.467,35.3595,19.2575,39.8225
,5364,4,14,18,19,12,,,5364,134.5875,54.8564286,75.4172222,58.2621053,124.425
,5365,15,15,17,18,18,,,5365,126.562667,64.3306667,38.7264706,54.4144444,36.6972222
,5374,15,15,16,20,20,,,5374,101.568,92.6386667,72.873125,61.0755,53.116
,5375,8,8,11,11,13,,,5375,117.08125,89.56875,73.9018182,75.2954545,129.026154
,5376,10,19,20,20,20,,,5376,153.848,30.4215789,34.375,45.8685,42.802
,5377,15,14,19,17,19,,,5377,57.1593333,75.4964286,53.0036842,42.3282353,31.0626316
,5379,7,5,4,19,19,,,5379,115.628571,99,102.12,71.3821053,61.5084211
,,,,,,,,,,,,,,
S1G: D1 Antag Time on Rod,Vole ID,Baseline 1,Baseline 2,Vehicle,0.5 mg/kg DA1 antagonist,Post,,S1H: D2 Antag Time on Rod,Vole ID,Baseline 1,Baseline 2,Vehicle,2 mg/kg DA2 antagonist,
,5239,20,20,4,4,20,,,5239,20,20,20,20,
,5283,20,18,19,13,18,,,5283,20,18,15,20,
,5241,20,20,19,8,20,,,5241,20,20,19,19,
,5298,20,20,20,10,15,,,5298,20,20,20,16,
,5328,20,18,20,20,20,,,5328,20,18,20,20,
,5390,19,19,20,16,20,,,5390,19,19,20,18,
,5392,19,19,19,14,16,,,5392,19,19,8,17,
,99.2,19,20,15,6,20,,,99.2,19,20,20,9,
,5403,17,17,18,2,17,,,5403,17,17,19,20,
,5415,20,20,20,5,20,,,5415,20,20,20,20,
,5396,18,19,18,11,20,,,5396,18,19,17,14,
,5242,20,20,18,13,19,,,5242,20,20,20,20,
,5423,19,19,19,12,20,,,5423,19,19,20,18,
,5426,15,10,11,3,14,,,5426,15,10,15,0,
,5427,17,17,16,11,20,,,5427,17,17,15,17,
,5431,19,18,20,14,20,,,5431,19,18,20,19,
,5433,19,17,16,12,18,,,5433,19,17,20,20,
