,,Training Day,Training Day,Training Day,Training Day,Training Day,Training Day,Training Day,Training Day
S2C: # lever press,Vole ID,1,2,3,4,5,6,7,8
,4275,2,0,20,20,16,20,20,20
,4277,0,1,15,20,20,17,20,20
,4236,1,0,11,18,20,20,18,20
,4291,1,0,7,14,18,11,20,13
,4386,4,15,20,20,20,20,19,14
,4475,19,20,20,20,20,20,20,20
,4476,0,3,19,19,20,19,20,19
,4480,19,19,20,20,20,20,20,20
,4531,1,6,19,20,19,18,20,20
,4532,3,2,18,17,18,20,20,18
,4534,17,16,20,20,20,20,20,20
,,,,,,,,,
,,Training Day,Training Day,Training Day,Training Day,Training Day,Training Day,Training Day,Training Day
S2D: # Pellets retrieved,Vole ID,1,2,3,4,5,6,7,8
,4275,80,80,75,100,70,87.5,90,88.88888889
,4277,90,80,86.66666667,100,85,85,82.35294118,65
,4236,85,90,72.72727273,50,75,95,80,95
,4291,70,80,85.71428571,71.42857143,89.47368421,77.77777778,81.81818182,92.30769231
,4386,85,85,90,85,75,70,94.73684211,100
,4475,90,65,90,70,90,90,100,90
,4476,90,60,68.42105263,89.47368421,100,78.94736842,100,84.21052632
,4480,90,70,75,80,95,90,65,70
,4531,90,80,78.94736842,70,78.94736842,77.77777778,70,85
,4532,85,65,88.88888889,100,100,95,80,77.77777778
,4534,90,80,80,80,85,85,55,85
,,,,,,,,,
S2F: Lever out,Vole ID,Partner,Novel,Food,,,,,
,4275,1.40724553,0.37571689,1.07520129,,,,,
,4277,0.43958004,-0.0354417,-0.6379687,,,,,
,4236,0.93694276,0.76038611,0.77834764,,,,,
,4291,0.7128772,0.85913597,0.64227006,,,,,
,4386,-0.2483627,0.92194213,0.00720607,,,,,
,4475,1.61663657,0.18240522,1.37291726,,,,,
,4476,2.26661448,1.62812746,0.77616884,,,,,
,4480,1.55844114,0.23578332,2.08496163,,,,,
,4531,0.62665411,0.68348327,0.40991326,,,,,
,4532,0.9019655,0.71177406,0.22939474,,,,,
,4534,0.73025905,1.08879147,0.98187494,,,,,
,,,,,,,,,
,,,,,,,,,
S2F: Lever Press,Vole ID,Partner,Novel,Food,,,,,
,4275,2.1438415,-0.6511777,1.14424655,,,,,
,4277,0.98336068,0.70319691,-0.3969584,,,,,
,4236,1.04470215,0.9396226,0.24959791,,,,,
,4291,2.60485857,1.82287652,1.85602874,,,,,
,4386,-0.430874,-0.3027862,-0.5934849,,,,,
,4475,3.94658703,1.8177716,0.72126885,,,,,
,4476,3.04371121,2.40904176,0.58220253,,,,,
,4480,1.93716158,0.30568198,1.64815532,,,,,
,4531,0.47500422,0.27390609,0.01827101,,,,,
,4532,0.50754801,0.85472023,0.00170902,,,,,
,4534,0.68323059,-0.4112624,0.29989906,,,,,
,,,,,,,,,
S2F: Chamber Open/ Pellet Dispense,Vole ID,,,,,,,,
,4275,2.79597096,-0.0827438,2.59161343,,,,,
,4277,1.87735226,2.21753012,1.02583505,,,,,
,4236,2.93258801,2.36111701,1.76510297,,,,,
,4291,3.23633567,1.7737371,2.88894955,,,,,
,4386,0.60965459,1.63870861,0.66937512,,,,,
,4475,4.45297223,3.80671495,1.32125319,,,,,
,4476,4.20865488,2.87396144,1.60051492,,,,,
,4480,2.97016013,2.1700483,1.77873596,,,,,
,4531,1.00692236,0.1055506,1.01936414,,,,,
,4532,1.00886951,0.72501828,0.39439122,,,,,
,4534,1.66958608,1.43100232,-0.6256235,,,,,
,,,,,,,,,
S2F: Chamber Open/ Pellet Dispense,Vole ID,,,,,,,,
,4275,1.58582349,-0.1458837,1.49712349,,,,,
,4277,2.30811704,2.34027845,1.06991627,,,,,
,4236,2.78525498,2.03894586,0.92621397,,,,,
,4291,2.62660415,4.35280801,3.31714881,,,,,
,4386,2.17217021,3.84871707,1.08020133,,,,,
,4475,3.85221237,2.44824829,0.39373387,,,,,
,4476,4.68801105,2.45914797,0.9110778,,,,,
,4480,3.2732912,2.04695132,1.05681058,,,,,
,4531,1.60068284,1.66779766,0.87189278,,,,,
,4532,1.56671637,0.47705238,1.02448673,,,,,
,4534,1.04491181,-0.8274098,0.03173153,,,,,
